ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
449264,5298-0500-1,PB Classe LFO,"66,00","R$ 62,46",PO,"R$ 4.122,36"
449264,5298-0584-7,PB Classe CFO,"27,50","R$ 144,67",PO,"R$ 3.978,42"
449264,5298-0585-5,PB Classe G,"176,20","R$ 39,73",PO,"R$ 7.000,43"
500822,5298-0500-1,PB Classe LFO,"85,45","R$ 85,27",PO,"R$ 7.286,49"
500822,5298-0584-7,PB Classe CFO,"22,63","R$ 190,65",PO,"R$ 4.314,41"
500822,5298-0587-1,PB Classe L,"7,40","R$ 58,89",PO,"R$ 435,79"
500846,5298-0500-1,PB Classe LFO,"42,54","R$ 85,27",PO,"R$ 3.627,39"
500846,5298-0584-7,PB Classe CFO,"4,78","R$ 190,65",PO,"R$ 911,31"
500846,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
507187,5298-0500-1,PB Classe LFO,"17,72","R$ 85,27",PO,"R$ 1.510,98"
507187,5298-0584-7,PB Classe CFO,"4,56","R$ 190,65",PO,"R$ 869,36"
522647,5298-0500-1,PB Classe LFO,"14,38","R$ 85,27",PO,"R$ 1.226,18"
522647,5298-0584-7,PB Classe CFO,"9,51","R$ 190,65",PO,"R$ 1.813,08"
522647,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
523217,5298-0500-1,PB Classe LFO,"39,18","R$ 85,27",PO,"R$ 3.340,88"
523217,5298-0584-7,PB Classe CFO,"6,31","R$ 190,65",PO,"R$ 1.203,00"
523217,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
504438,5298-0584-7,PB Classe CFO,"8,08","R$ 190,65",PO,"R$ 1.540,45"
514855,5298-0500-1,PB Classe LFO,"97,60","R$ 85,27",PO,"R$ 8.322,01"
514855,5298-0584-7,PB Classe CFO,"8,36","R$ 190,65",PO,"R$ 1.593,83"
505408,5298-0500-1,PB Classe LFO,"30,70","R$ 85,27",PO,"R$ 2.617,79"
505408,5298-0584-7,PB Classe CFO,"12,00","R$ 190,65",PO,"R$ 2.287,80"
505408,5298-0587-1,PB Classe L,"7,50","R$ 58,89",PO,"R$ 441,68"
